loan_account_no,product_description,loan_origination_date,bureau_score,down_payment_amount,branch_name,res_years_at_current_city,res_years_at_current_address,interest_rate,loan_asset_cost,gender,channel,age,number_of_installments,res_city,res_province,total_income,asset_model,industry,nature_of_business,marital_status,manufacturer,occupation_type,res_resident_status,years_in_occupation,has_existing_loan,number_of_dependents,days_past_due,label_determination_date,label_is_mature,TARGET
PH17707830024489115808,Motorcycle Loan,2026-01-10,-1,10000,Davao,28,5,14.44,57595,Female,DEALER,40,24,Davao City,Davao del Sur,30115,ADV 160,Manufacturing,Manufacturing,Live-in,Honda,Employed,Living with Parents,1,No,6,5,2026-06-04,True,0
PH10259279182497154984,Motorcycle Loan,2025-04-13,572,20500,General Santos,23,21,17.65,114114,Female,DEALER,48,36,General Santos,South Cotabato,43923,Skydrive 125,BPO,Services,Single,Suzuki,Employed,Living with Parents,0,No,2,6,2025-09-28,True,0
PH12793110398696670997,Motorcycle Loan,2025-05-27,-1,16000,Cubao QC,24,3,20.41,134596,Male,DEALER,32,36,Quezon City,Metro Manila,20582,Barako II 175,Retail,Trading,Widowed/Separated,Kawasaki,Sari-sari Store Owner,Living with Parents,4,No,0,161,2025-10-15,True,1
PH16981239061402106405,Motorcycle Loan,2024-12-20,-1,27000,General Santos,25,24,14.75,144068,Male,DIRECT,18,24,General Santos,South Cotabato,19900,Mio i 125,Retail,Trading,Live-in,Yamaha,Sari-sari Store Owner,Rented,0,No,1,2,2025-06-17,True,0
PH12870586301447571259,Motorcycle Loan,2026-04-29,695,11500,Quiapo Manila,6,0,17.25,91400,Male,DIRECT,49,24,Manila,Metro Manila,21160,Mio Aerox,Construction,Services,Single,Yamaha,Construction Worker,Rented,13,Yes,4,2,2026-10-01,False,0
PH13770843551760453130,Motorcycle Loan,2024-09-15,604,12000,Cubao QC,24,22,18.96,100137,Male,ONLINE,19,12,Quezon City,Metro Manila,13874,Skydrive 125,Retail,Trading,Live-in,Suzuki,Sari-sari Store Owner,Living with Parents,1,No,3,1,2025-01-17,True,0
PH18421121319818503053,Motorcycle Loan,2026-05-28,-1,16500,Quiapo Manila,27,4,22.21,88073,Male,DEALER,19,24,Manila,Metro Manila,26880,Click 125i,Manufacturing,Manufacturing,Married,Honda,Other Self Employed,Owned,0,Yes,5,237,2026-10-16,False,1
PH11786282482603367046,Motorcycle Loan,2025-06-24,580,6000,Cebu City,27,5,18.57,52340,Male,DEALER,51,24,Cebu City,Cebu,15137,Sniper 150,Transport,Services,Married,Yamaha,Tricycle/Jeepney Driver,Living with Parents,1,No,0,165,2025-09-23,True,1
PH14414302043649313172,Motorcycle Loan,2025-10-05,748,13000,Quiapo Manila,29,22,21.53,84818,Male,DIRECT,55,24,Manila,Metro Manila,19700,Storm 200,Retail,Trading,Single,Rusi,Sari-sari Store Owner,Owned,5,Yes,4,117,2026-02-16,True,1
PH14064778602727043479,Motorcycle Loan,2025-12-13,-1,27000,Cubao QC,27,7,15.62,149040,Male,DEALER,38,36,Quezon City,Metro Manila,27056,TMX 125,BPO,Services,Single,TMX,Other Self Employed,Owned,1,No,3,0,2026-07-03,False,0
PH19437154190716887981,Motorcycle Loan,2026-02-05,-1,7500,Cebu City,7,0,24.57,75439,Female,ONLINE,36,18,Cebu City,Cebu,46138,Mio Aerox,Government,Services,Widowed/Separated,Yamaha,Employed,Owned,2,Yes,3,162,2026-06-24,False,1
PH14312675407252668479,Motorcycle Loan,2025-02-23,-1,13000,General Santos,7,5,21.81,66725,Male,DEALER,49,24,General Santos,South Cotabato,12160,NMAX 155,Retail,Trading,Single,Yamaha,Sari-sari Store Owner,Rented,11,Yes,1,2,2025-06-24,True,0
PH12657249333975294545,Motorcycle Loan,2025-05-23,768,19500,Cebu City,12,8,14.43,113081,Female,DIRECT,20,24,Cebu City,Cebu,23463,Click 125i,Government,Services,Single,Honda,Other Self Employed,Living with Parents,1,No,5,25,2025-10-09,True,0
PH14323606013085005335,Motorcycle Loan,2025-07-25,-1,18500,Caloocan,23,23,14.92,106060,Male,DIRECT,21,24,Caloocan,Metro Manila,13036,TMX 125 Alpha,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Rented,2,Yes,1,172,2025-11-29,True,1
PH13593661207835858378,Motorcycle Loan,2024-06-30,-1,28000,General Santos,20,18,18.73,152845,Female,DIRECT,43,18,General Santos,South Cotabato,17624,NMAX 155,Construction,Services,Married,Yamaha,Construction Worker,Owned,18,No,3,4,2024-11-01,True,0
PH11737649978494142694,Motorcycle Loan,2024-09-03,754,24500,General Santos,3,3,15.48,138047,Male,DEALER,47,18,General Santos,South Cotabato,12998,TMX 125 Alpha,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Owned,10,Yes,3,3,2025-01-15,True,0
PH18191265775922064393,Motorcycle Loan,2025-01-06,610,22500,Cebu City,10,8,14.95,143365,Male,ONLINE,29,24,Cebu City,Cebu,18616,ADV 160,Retail,Trading,Live-in,Honda,Sari-sari Store Owner,Owned,1,Yes,3,1,2025-05-27,True,0
PH13447687193516221750,Motorcycle Loan,2025-01-12,680,23500,Iloilo,19,2,23.81,149961,Male,DEALER,38,24,Iloilo City,Iloilo,32939,Click 125i,Manufacturing,Manufacturing,Married,Honda,Employed,Owned,17,Yes,2,5,2025-06-21,True,0
PH10383194283515281847,Motorcycle Loan,2024-12-14,668,12500,Davao,22,20,24.56,112591,Male,DEALER,49,24,Davao City,Davao del Sur,38074,ADV 160,Manufacturing,Manufacturing,Single,Honda,Employed,Owned,3,No,6,0,2025-04-15,True,0
PH16583076623985428443,Motorcycle Loan,2025-09-29,572,7500,Cebu City,4,3,20.06,63099,Female,DEALER,43,24,Cebu City,Cebu,14299,Rouser NS200,Transport,Services,Single,Kawasaki,Tricycle/Jeepney Driver,Rented,2,Yes,4,131,2026-01-24,True,1
PH15822292836868237543,Motorcycle Loan,2024-09-28,-1,13000,General Santos,20,7,16.92,112454,Female,DIRECT,52,18,General Santos,South Cotabato,15374,Click 125i,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Owned,13,No,0,0,2025-04-22,True,0
PH13420488320170767582,Motorcycle Loan,2024-08-12,654,8500,Quiapo Manila,23,22,16.29,45040,Male,DEALER,42,24,Manila,Metro Manila,44492,Beat 110,Remittance-dependent,Services,Single,Honda,OFW Dependent,Rented,15,Yes,3,15,2025-02-16,True,0
PH12908027237050073096,Motorcycle Loan,2025-08-25,635,14000,Cagayan de Oro,26,22,15.4,101259,Male,DIRECT,55,18,Cagayan de Oro,Misamis Oriental,15740,Sniper 150,Construction,Services,Widowed/Separated,Yamaha,Construction Worker,Living with Parents,5,Yes,1,5,2025-12-30,True,0
PH16947866031113031427,Motorcycle Loan,2025-08-07,696,19500,Iloilo,12,0,17.85,132054,Male,DEALER,58,36,Iloilo City,Iloilo,23860,Click 125i,Retail,Trading,Married,Honda,Sari-sari Store Owner,Owned,7,No,4,2,2026-03-04,True,0
PH19440867854513268459,Motorcycle Loan,2025-07-28,600,16500,Iloilo,27,2,23.86,104610,Male,DEALER,32,24,Iloilo City,Iloilo,23889,Smash 115,Government,Services,Single,Suzuki,Employed,Living with Parents,1,No,5,154,2025-12-09,True,1
PH10054713750301477239,Motorcycle Loan,2025-04-11,710,9500,Davao,27,4,18.83,60434,Male,DEALER,20,24,Davao City,Davao del Sur,21990,Skydrive 125,Remittance-dependent,Services,Single,Suzuki,OFW Dependent,Living with Parents,0,Yes,0,149,2025-08-21,True,1
PH12291290446320721320,Motorcycle Loan,2025-05-21,750,20000,Quiapo Manila,14,13,24.78,137734,Male,DEALER,23,18,Manila,Metro Manila,20169,Click 125i,BPO,Services,Married,Honda,Employed,Living with Parents,5,No,0,1,2025-12-13,True,0
PH19356935076821024123,Motorcycle Loan,2024-12-22,560,9500,Caloocan,21,20,16.58,47660,Male,DEALER,41,24,Caloocan,Metro Manila,21190,Mio Aerox,Construction,Services,Single,Yamaha,Construction Worker,Owned,4,No,1,23,2025-05-09,True,0
PH17822179076620384047,Motorcycle Loan,2024-08-09,562,11000,Iloilo,22,15,24.62,58127,Male,ONLINE,25,18,Iloilo City,Iloilo,23016,NMAX 155,Remittance-dependent,Services,Live-in,Yamaha,OFW Dependent,Rented,5,No,4,127,2024-12-11,True,1
PH15119716276765646008,Motorcycle Loan,2025-05-20,-1,8500,General Santos,12,1,13.43,78605,Female,DIRECT,18,36,General Santos,South Cotabato,25433,Beat 110,Remittance-dependent,Services,Married,Honda,OFW Dependent,Living with Parents,0,No,4,118,2025-09-02,True,1
PH17180809915506717854,Motorcycle Loan,2025-08-18,563,10000,Quiapo Manila,20,14,18.01,94035,Male,DEALER,36,18,Manila,Metro Manila,12182,NMAX 155,Construction,Services,Single,Yamaha,Construction Worker,Owned,12,No,4,1,2026-03-07,True,0
PH13884322490456821286,Motorcycle Loan,2024-12-28,-1,13500,General Santos,16,0,24.16,95394,Male,ONLINE,18,24,General Santos,South Cotabato,12232,CT100,Transport,Services,Widowed/Separated,Kawasaki,Tricycle/Jeepney Driver,Rented,0,No,0,150,2025-04-13,True,1
PH18055944945715039282,Motorcycle Loan,2025-10-12,-1,17000,Iloilo,3,1,17.12,97747,Male,DIRECT,48,36,Iloilo City,Iloilo,47320,Raider R150,Government,Services,Single,Suzuki,Employed,Rented,11,No,4,0,2026-02-21,True,0
PH16384363287068775372,Motorcycle Loan,2026-04-10,653,16000,Cubao QC,21,20,13.7,90307,Male,DEALER,41,36,Quezon City,Metro Manila,49128,TMX 125,Retail,Trading,Married,TMX,Employed,Living with Parents,8,Yes,1,3,2026-10-04,False,0
PH17730035758819014338,Motorcycle Loan,2025-02-28,727,17000,Caloocan,21,8,20.37,94968,Female,DIRECT,30,24,Caloocan,Metro Manila,57382,Skydrive 125,Government,Services,Married,Suzuki,Employed,Owned,6,Yes,3,2,2025-08-19,True,0
PH18327984812665519532,Motorcycle Loan,2025-01-28,690,13000,Cubao QC,5,4,17.95,89029,Male,ONLINE,44,24,Quezon City,Metro Manila,37167,NMAX 155,BPO,Services,Single,Yamaha,Employed,Rented,11,No,6,3,2025-08-05,True,0
PH17548293857612086023,Motorcycle Loan,2025-07-17,588,15000,Caloocan,17,11,22.15,120211,Male,DIRECT,33,36,Caloocan,Metro Manila,13366,Sniper 150,Manufacturing,Manufacturing,Married,Yamaha,Other Self Employed,Living with Parents,4,No,3,2,2026-01-07,True,0
PH17242922666974436931,Motorcycle Loan,2024-11-01,663,17500,Quiapo Manila,19,19,23.72,127076,Male,DEALER,56,36,Manila,Metro Manila,14765,Mio Aerox,Construction,Services,Married,Yamaha,Construction Worker,Rented,8,Yes,0,163,2025-02-03,True,1
PH18885548976654322535,Motorcycle Loan,2025-09-23,738,24500,Quiapo Manila,23,9,21.44,135966,Male,DEALER,36,24,Manila,Metro Manila,16570,Beat 110,Construction,Services,Live-in,Honda,Construction Worker,Owned,16,No,1,0,2026-03-14,True,0
PH19580338445008230871,Motorcycle Loan,2024-12-30,588,25000,Caloocan,21,20,14.86,130975,Male,DEALER,30,24,Caloocan,Metro Manila,18497,Flash 115,Retail,Trading,Married,Rusi,Sari-sari Store Owner,Living with Parents,6,No,4,12,2025-07-18,True,0
PH11023279016372580072,Motorcycle Loan,2026-01-27,-1,10000,Caloocan,2,0,16.35,83050,Female,DEALER,18,36,Caloocan,Metro Manila,8166,DLX 110,Transport,Services,Single,Rusi,Tricycle/Jeepney Driver,Owned,0,No,6,125,2026-04-30,True,1
PH13700440504845701825,Motorcycle Loan,2025-12-07,-1,26500,Cubao QC,23,21,16.02,142298,Male,DEALER,57,18,Quezon City,Metro Manila,9855,Raider R150,Transport,Services,Single,Suzuki,Tricycle/Jeepney Driver,Rented,6,Yes,6,143,2026-03-24,True,1
PH10629182179559665385,Motorcycle Loan,2025-04-05,-1,16000,Cubao QC,9,8,15.6,92742,Male,DEALER,21,18,Quezon City,Metro Manila,21395,Raider R150,Government,Services,Widowed/Separated,Suzuki,Other Self Employed,Living with Parents,0,No,0,223,2025-08-21,True,1
PH13180036083209389550,Motorcycle Loan,2025-09-29,736,12500,Caloocan,28,3,15.51,73849,Male,DEALER,19,24,Caloocan,Metro Manila,10849,Smash 115,Transport,Services,Widowed/Separated,Suzuki,Tricycle/Jeepney Driver,Living with Parents,1,No,1,0,2026-02-17,True,0
PH11290169152372950677,Motorcycle Loan,2025-08-12,719,16000,Cebu City,6,0,21.1,99943,Female,DEALER,38,18,Cebu City,Cebu,11676,NMAX 155,BPO,Services,Live-in,Yamaha,Other Self Employed,Living with Parents,19,Yes,1,137,2025-11-20,True,1
PH13565730625180554409,Motorcycle Loan,2025-12-01,607,16000,Quiapo Manila,25,7,15.22,88257,Male,ONLINE,23,24,Manila,Metro Manila,34678,Click 125i,Manufacturing,Manufacturing,Single,Honda,Employed,Owned,4,No,2,4,2026-06-15,False,0
PH15854960628584636067,Motorcycle Loan,2024-12-04,-1,16500,General Santos,23,12,21.64,105098,Female,DIRECT,37,12,General Santos,South Cotabato,15059,Beat 110,Retail,Trading,Married,Honda,Sari-sari Store Owner,Rented,4,Yes,2,148,2025-04-11,True,1
PH10022979011250104679,Motorcycle Loan,2026-01-18,-1,12500,Cagayan de Oro,27,10,14.88,93501,Male,DIRECT,47,24,Cagayan de Oro,Misamis Oriental,12384,ADV 160,Transport,Services,Married,Honda,Tricycle/Jeepney Driver,Living with Parents,18,Yes,4,130,2026-06-03,True,1
PH12182487121755873380,Motorcycle Loan,2025-04-17,756,16000,Cebu City,25,15,23.5,149082,Male,DIRECT,20,18,Cebu City,Cebu,8816,TMX 125,Transport,Services,Married,TMX,Tricycle/Jeepney Driver,Owned,0,No,5,143,2025-08-03,True,1
PH18378994693024268590,Motorcycle Loan,2025-07-22,681,12500,Quiapo Manila,25,10,18.03,78397,Male,DIRECT,32,24,Manila,Metro Manila,8634,ADV 160,Transport,Services,Widowed/Separated,Honda,Tricycle/Jeepney Driver,Living with Parents,1,No,3,135,2025-12-14,True,1
PH16105825204936596436,Motorcycle Loan,2025-05-29,-1,19000,Quiapo Manila,26,1,16.07,149178,Male,DEALER,43,18,Manila,Metro Manila,26748,NMAX 155,Remittance-dependent,Services,Single,Yamaha,OFW Dependent,Rented,11,No,3,1,2025-12-24,True,0
PH10553922023425425571,Motorcycle Loan,2025-09-13,609,8500,General Santos,5,0,12.5,46093,Female,DIRECT,37,24,General Santos,South Cotabato,22679,Click 125i,Retail,Trading,Live-in,Honda,Sari-sari Store Owner,Rented,7,No,2,0,2026-03-26,True,0
PH15093581651764468885,Motorcycle Loan,2024-11-19,743,17000,Caloocan,19,15,21.19,102835,Male,DEALER,52,24,Caloocan,Metro Manila,29188,Storm 200,Manufacturing,Manufacturing,Single,Rusi,Other Self Employed,Rented,13,No,3,43,2025-03-22,True,0
PH17753779033667467822,Motorcycle Loan,2024-12-13,-1,15500,Quiapo Manila,7,5,14.22,91133,Male,DIRECT,21,24,Manila,Metro Manila,10615,Smash 115,Retail,Trading,Single,Suzuki,Sari-sari Store Owner,Rented,3,No,2,113,2025-03-23,True,1
PH17776777960334953157,Motorcycle Loan,2024-09-04,-1,15500,Quiapo Manila,6,3,19.16,83232,Female,DIRECT,25,24,Manila,Metro Manila,17076,Click 125i,Retail,Trading,Married,Honda,Other Self Employed,Owned,1,Yes,0,6,2025-02-10,True,0
PH11270966087394185268,Motorcycle Loan,2026-03-07,-1,12000,Quiapo Manila,0,0,14.26,89583,Male,DEALER,28,36,Manila,Metro Manila,19357,ADV 160,Construction,Services,Single,Honda,Construction Worker,Living with Parents,8,No,1,1,2026-08-21,False,0
PH15155767852920438849,Motorcycle Loan,2025-04-18,639,7500,Cagayan de Oro,27,6,23.29,47032,Male,DEALER,21,24,Cagayan de Oro,Misamis Oriental,24559,ADV 160,Retail,Trading,Widowed/Separated,Honda,Sari-sari Store Owner,Owned,2,Yes,3,176,2025-07-19,True,1
PH16114460723839463083,Motorcycle Loan,2025-01-09,572,10500,Cebu City,25,14,15.78,86279,Male,DIRECT,37,18,Cebu City,Cebu,10336,Click 125i,Retail,Trading,Widowed/Separated,Honda,Sari-sari Store Owner,Owned,16,No,4,11,2025-05-25,True,0
PH17551542578022704217,Motorcycle Loan,2025-04-06,-1,15000,General Santos,7,1,14.25,93501,Female,DIRECT,28,24,General Santos,South Cotabato,19480,Beat 110,Retail,Trading,Married,Honda,Sari-sari Store Owner,Rented,10,No,1,15,2025-08-26,True,0
PH17713587768129759893,Motorcycle Loan,2024-10-03,-1,20000,General Santos,16,8,24.51,154757,Male,DIRECT,36,12,General Santos,South Cotabato,9051,Barako II 175,Transport,Services,Married,Kawasaki,Tricycle/Jeepney Driver,Owned,18,Yes,2,114,2025-01-12,True,1
PH14035993847894506314,Motorcycle Loan,2024-09-14,727,10000,Iloilo,22,15,23.63,57392,Male,ONLINE,22,36,Iloilo City,Iloilo,11354,ADV 160,Transport,Services,Single,Honda,Tricycle/Jeepney Driver,Living with Parents,0,No,6,15,2025-04-07,True,0
